Unnamed: 0,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature
3209,Billie Jean,Michael Jackson,5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
3210,Run to the Hills - 2015 Remaster,Iron Maiden,0sxYYT48UPkmrDx8p4Hnrl,0.249,0.943,0,-5.188,1,0.0669,0.0286,0.00401,0.162,0.458,173.671,audio_features,0sxYYT48UPkmrDx8p4Hnrl,spotify:track:0sxYYT48UPkmrDx8p4Hnrl,https://api.spotify.com/v1/tracks/0sxYYT48UPkmrDx8p4Hnrl,https://api.spotify.com/v1/audio-analysis/0sxYYT48UPkmrDx8p4Hnrl,233507,4
3211,Twilight Zone,Golden Earring,5DPpbYqJi4OfgnV8fz1JsQ,0.666,0.667,11,-9.486,0,0.0388,0.00394,0.000148,0.0733,0.558,118.556,audio_features,5DPpbYqJi4OfgnV8fz1JsQ,spotify:track:5DPpbYqJi4OfgnV8fz1JsQ,https://api.spotify.com/v1/tracks/5DPpbYqJi4OfgnV8fz1JsQ,https://api.spotify.com/v1/audio-analysis/5DPpbYqJi4OfgnV8fz1JsQ,474467,4
3212,Eye In The Sky,The Alan Parsons Project,39qYD4J4BKvZMQgxfXl5bv,0.823,0.417,2,-12.643,1,0.032,0.562,0.00098,0.0765,0.522,111.928,audio_features,39qYD4J4BKvZMQgxfXl5bv,spotify:track:39qYD4J4BKvZMQgxfXl5bv,https://api.spotify.com/v1/tracks/39qYD4J4BKvZMQgxfXl5bv,https://api.spotify.com/v1/audio-analysis/39qYD4J4BKvZMQgxfXl5bv,276280,4
3213,Rosanna,TOTO,37BTh5g05cxBIRYMbw8g2T,0.365,0.513,7,-13.034,0,0.0357,0.0208,0.000147,0.205,0.739,80.647,audio_features,37BTh5g05cxBIRYMbw8g2T,spotify:track:37BTh5g05cxBIRYMbw8g2T,https://api.spotify.com/v1/tracks/37BTh5g05cxBIRYMbw8g2T,https://api.spotify.com/v1/audio-analysis/37BTh5g05cxBIRYMbw8g2T,331200,4
3214,Is She Really Going Out With Him? - Live,Joe Jackson,3Hf0AfuQSZFNUEQXtTELCs,0.559,0.419,6,-8.463,1,0.0736,0.911,4.74e-05,0.411,0.454,110.771,audio_features,3Hf0AfuQSZFNUEQXtTELCs,spotify:track:3Hf0AfuQSZFNUEQXtTELCs,https://api.spotify.com/v1/tracks/3Hf0AfuQSZFNUEQXtTELCs,https://api.spotify.com/v1/audio-analysis/3Hf0AfuQSZFNUEQXtTELCs,269493,4
3215,Bloedend Hart,De Dijk,5UyVkTaKFP2IPjnDJMo8Xx,0.401,0.434,7,-11.941,0,0.0286,0.377,0.0101,0.48,0.342,177.562,audio_features,5UyVkTaKFP2IPjnDJMo8Xx,spotify:track:5UyVkTaKFP2IPjnDJMo8Xx,https://api.spotify.com/v1/tracks/5UyVkTaKFP2IPjnDJMo8Xx,https://api.spotify.com/v1/audio-analysis/5UyVkTaKFP2IPjnDJMo8Xx,323582,3
3216,Belgie ... (Is Er Leven Op Pluto ...),Het Goede Doel,0otIFwtEKqrDBGb3cvLRu4,0.584,0.662,0,-13.559,0,0.0412,0.0114,0.000413,0.0741,0.658,140.926,audio_features,0otIFwtEKqrDBGb3cvLRu4,spotify:track:0otIFwtEKqrDBGb3cvLRu4,https://api.spotify.com/v1/tracks/0otIFwtEKqrDBGb3cvLRu4,https://api.spotify.com/v1/audio-analysis/0otIFwtEKqrDBGb3cvLRu4,360707,3
3218,Islands In the Stream,Dolly Parton,6dnco8haegnJYtylV26cBq,0.617,0.411,8,-12.075,1,0.0373,0.675,1.04e-06,0.0886,0.738,203.934,audio_features,6dnco8haegnJYtylV26cBq,spotify:track:6dnco8haegnJYtylV26cBq,https://api.spotify.com/v1/tracks/6dnco8haegnJYtylV26cBq,https://api.spotify.com/v1/audio-analysis/6dnco8haegnJYtylV26cBq,251960,4
3220,Come On Eileen,Dexys Midnight Runners,3MrWxJaD2AT0W9DjWF64Vm,0.45,0.656,2,-7.049,1,0.0472,0.664,3.02e-06,0.259,0.782,106.61,audio_features,3MrWxJaD2AT0W9DjWF64Vm,spotify:track:3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/tracks/3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/audio-analysis/3MrWxJaD2AT0W9DjWF64Vm,287307,4
3221,Kristallnaach,BAP,2aZsp1KAJLMOaW2socza14,0.346,0.572,9,-13.598,1,0.118,0.487,0.0,0.0575,0.439,159.476,audio_features,2aZsp1KAJLMOaW2socza14,spotify:track:2aZsp1KAJLMOaW2socza14,https://api.spotify.com/v1/tracks/2aZsp1KAJLMOaW2socza14,https://api.spotify.com/v1/audio-analysis/2aZsp1KAJLMOaW2socza14,299000,4
3222,State of Independence,Donna Summer,3mZ6PVxWBhCycZxeEJQDNs,0.747,0.696,4,-8.696,1,0.177,0.182,0.0574,0.0616,0.875,169.502,audio_features,3mZ6PVxWBhCycZxeEJQDNs,spotify:track:3mZ6PVxWBhCycZxeEJQDNs,https://api.spotify.com/v1/tracks/3mZ6PVxWBhCycZxeEJQDNs,https://api.spotify.com/v1/audio-analysis/3mZ6PVxWBhCycZxeEJQDNs,351493,4
3223,You Can't Hurry Love - 2016 Remaster,Phil Collins,4YwbSZaYeYja8Umyt222Qf,0.62,0.936,7,-4.593,1,0.0308,0.0261,0.0,0.0679,0.763,97.527,audio_features,4YwbSZaYeYja8Umyt222Qf,spotify:track:4YwbSZaYeYja8Umyt222Qf,https://api.spotify.com/v1/tracks/4YwbSZaYeYja8Umyt222Qf,https://api.spotify.com/v1/audio-analysis/4YwbSZaYeYja8Umyt222Qf,175747,4
